transaction_id,transaction_date,account_id,transaction_type,amount,merchant,category,region,channel,is_anomaly
TXN1,2024-02-10,ACC1939,debit,2397.37,Netflix,Food,East,POS,0
TXN2,2022-03-12,ACC3534,credit,1889.39,Walmart,Travel,East,Online,0
TXN3,2022-06-11,ACC4888,debit,2518.15,Amazon,Utilities,West,Online,0
TXN4,2022-04-23,ACC4011,debit,3218.42,Walmart,Food,East,Bank,0
TXN5,2023-03-29,ACC1714,debit,1812.68,Amazon,Food,South,POS,0
TXN6,2024-06-03,ACC4432,credit,1812.69,Airbnb,Entertainment,South,Bank,0
TXN7,2022-07-13,ACC3069,credit,19580.22,Uber,Healthcare,West,Online,1
TXN8,2022-07-07,ACC2752,credit,2613.95,Netflix,Entertainment,East,Bank,0
TXN9,2023-03-24,ACC3826,debit,1624.42,Zomato,Food,South,POS,0
TXN10,2023-11-05,ACC3543,credit,2434.05,Walmart,Travel,East,Online,0
TXN11,2024-03-01,ACC1848,credit,1629.27,Amazon,Entertainment,South,Bank,0
TXN12,2023-03-27,ACC1278,credit,1627.42,Walmart,Utilities,East,POS,0
TXN13,2024-06-08,ACC1379,debit,2193.57,Uber,Utilities,West,Online,0
TXN14,2023-12-19,ACC4251,debit,469.38,Walmart,Healthcare,East,Online,0
TXN15,2024-03-24,ACC4948,debit,620.07,Uber,Healthcare,North,Bank,0
TXN16,2023-01-04,ACC4507,debit,1550.17,Airbnb,Utilities,North,Bank,0
TXN17,2023-12-31,ACC2700,debit,1189.74,Walmart,Food,East,Online,0
TXN18,2022-03-18,ACC2029,credit,2251.4,Uber,Food,East,Bank,0
TXN19,2022-10-14,ACC3869,credit,1273.58,Walmart,Retail,South,Online,0
TXN20,2024-02-20,ACC1325,debit,870.16,Walmart,Travel,South,Online,0
TXN21,2022-08-12,ACC4962,debit,3172.52,Zomato,Retail,North,POS,0
TXN22,2023-02-11,ACC4852,credit,1819.38,Walmart,Healthcare,North,POS,0
TXN23,2023-12-12,ACC3824,debit,2054.02,Netflix,Healthcare,West,POS,0
TXN24,2023-03-06,ACC2165,debit,860.2,Netflix,Travel,West,POS,0
TXN25,2023-02-19,ACC4923,credit,1564.49,Uber,Healthcare,North,Online,0
TXN26,2023-11-06,ACC2008,credit,2088.74,Zomato,Entertainment,East,Online,0
TXN27,2024-02-05,ACC1200,credit,1079.21,Zomato,Healthcare,West,Online,0
TXN28,2023-08-28,ACC4558,credit,2300.56,Amazon,Entertainment,East,Online,0
TXN29,2023-12-03,ACC3928,debit,1519.49,Airbnb,Retail,West,Bank,0
TXN30,2022-04-11,ACC3926,credit,1766.65,Netflix,Healthcare,East,POS,0
TXN31,2023-12-09,ACC2453,credit,1518.63,Uber,Travel,North,Bank,0
TXN32,2023-09-28,ACC4455,debit,3481.82,Uber,Travel,North,Bank,0
TXN33,2023-05-21,ACC4343,credit,1989.2,Walmart,Retail,North,POS,0
TXN34,2022-09-13,ACC2894,credit,1153.83,Zomato,Entertainment,North,Bank,0
TXN35,2024-02-29,ACC3209,debit,2658.04,Zomato,Utilities,South,Bank,0
TXN36,2022-08-18,ACC3129,debit,1023.33,Uber,Travel,South,Online,0
TXN37,2023-07-27,ACC2763,debit,2167.09,Netflix,Food,West,Bank,0
TXN38,2023-11-23,ACC2475,credit,432.26,Zomato,Utilities,South,POS,0
TXN39,2024-05-22,ACC2782,debit,937.45,Uber,Retail,East,Bank,0
TXN40,2023-03-02,ACC1722,debit,2157.49,Airbnb,Entertainment,North,POS,0
TXN41,2023-07-24,ACC3547,debit,2590.77,Amazon,Utilities,North,Bank,0
TXN42,2022-08-07,ACC4957,credit,2137.09,Uber,Entertainment,East,Online,0
TXN43,2022-05-16,ACC2010,credit,1907.48,Walmart,Retail,West,Online,0
TXN44,2022-03-15,ACC3939,debit,1759.12,Zomato,Retail,West,Online,0
TXN45,2024-03-14,ACC4595,credit,817.18,Amazon,Entertainment,North,Online,0
TXN46,2022-08-20,ACC1759,credit,1424.12,Netflix,Food,South,Bank,0
TXN47,2022-02-02,ACC3240,debit,1631.49,Airbnb,Retail,East,POS,0
TXN48,2023-10-16,ACC1256,debit,2845.7,Uber,Food,East,Online,0
TXN49,2022-08-05,ACC3445,debit,2274.89,Walmart,Entertainment,West,Online,0
TXN50,2023-09-23,ACC4564,debit,589.57,Airbnb,Food,South,Bank,0
TXN51,2023-03-03,ACC4584,debit,2259.27,Airbnb,Travel,North,POS,0
TXN52,2022-11-06,ACC2233,credit,1691.93,Amazon,Healthcare,South,POS,0
TXN53,2024-04-30,ACC2937,credit,1458.46,Netflix,Utilities,East,Online,0
TXN54,2022-06-03,ACC2899,credit,2489.34,Netflix,Healthcare,East,Bank,0
TXN55,2023-05-13,ACC1311,debit,2824.8,Netflix,Healthcare,South,POS,0
TXN56,2023-04-14,ACC2309,credit,2745.02,Airbnb,Travel,West,Online,0
TXN57,2022-11-09,ACC2673,credit,1328.63,Zomato,Food,North,Bank,0
TXN58,2023-09-28,ACC1027,credit,1752.63,Uber,Retail,North,Online,0
TXN59,2022-12-04,ACC3142,debit,2265.01,Airbnb,Retail,North,Bank,0
TXN60,2023-09-02,ACC3535,credit,2780.44,Uber,Healthcare,North,Online,0
TXN61,2022-01-28,ACC2214,debit,1616.66,Walmart,Entertainment,North,Online,0
TXN62,2022-07-16,ACC4452,debit,1851.47,Amazon,Utilities,East,POS,0
TXN63,2022-09-06,ACC1587,debit,1114.93,Uber,Retail,South,Online,0
TXN64,2023-06-12,ACC1796,credit,1043.03,Amazon,Travel,West,Bank,0
TXN65,2022-05-25,ACC3654,debit,2650.02,Netflix,Food,North,POS,0
TXN66,2023-05-29,ACC3130,credit,3084.99,Netflix,Entertainment,East,Bank,0
TXN67,2022-01-01,ACC3670,debit,1942.39,Uber,Retail,East,Bank,0
