transaction_id,transaction_date,account_id,transaction_type,amount,merchant,category,region,channel,is_anomaly
TXN1,2022-03-25,ACC1947,debit,2397.37,Airbnb,Food,West,Online,0
TXN2,2022-11-05,ACC4624,debit,1889.39,Zomato,Healthcare,East,Online,0
TXN3,2022-06-27,ACC2196,credit,2518.15,Zomato,Travel,East,POS,0
TXN4,2023-01-16,ACC3514,credit,3218.42,Uber,Travel,West,Online,0
TXN5,2023-04-25,ACC1846,credit,1812.68,Airbnb,Entertainment,South,POS,0
TXN6,2022-02-24,ACC3589,debit,1812.69,Amazon,Retail,North,Online,0
TXN7,2023-07-02,ACC4684,debit,3263.37,Airbnb,Food,South,Bank,0
TXN8,2024-05-28,ACC2016,credit,2613.95,Zomato,Utilities,East,Bank,0
TXN9,2023-11-06,ACC3827,credit,1624.42,Airbnb,Food,South,POS,0
TXN10,2022-05-02,ACC3892,credit,2434.05,Uber,Utilities,West,Bank,0
TXN11,2022-07-02,ACC3846,credit,1629.27,Netflix,Healthcare,North,Online,0
TXN12,2023-08-10,ACC1396,credit,1627.42,Amazon,Entertainment,South,Online,0
TXN13,2022-01-04,ACC3554,debit,2193.57,Walmart,Travel,South,POS,0
TXN14,2022-10-15,ACC1318,credit,469.38,Netflix,Utilities,East,POS,0
TXN15,2024-02-20,ACC4852,debit,620.07,Uber,Utilities,West,Bank,0
TXN16,2023-03-11,ACC1482,credit,1550.17,Zomato,Healthcare,North,Bank,0
TXN17,2022-05-23,ACC2954,debit,1189.74,Uber,Food,East,Online,0
TXN18,2022-08-08,ACC3277,debit,2251.4,Amazon,Travel,South,Bank,0
TXN19,2023-05-21,ACC3199,credit,1273.58,Netflix,Utilities,West,Bank,0
TXN20,2024-03-06,ACC3874,debit,870.16,Zomato,Retail,East,POS,0
TXN21,2022-11-01,ACC2165,credit,3172.52,Amazon,Travel,South,POS,0
TXN22,2024-01-14,ACC4766,debit,1819.38,Uber,Food,East,Online,0
TXN23,2023-09-27,ACC4317,debit,2054.02,Zomato,Healthcare,West,Bank,0
TXN24,2024-02-06,ACC4647,credit,860.2,Uber,Entertainment,East,Bank,0
TXN25,2024-01-29,ACC1350,debit,1564.49,Netflix,Healthcare,North,Bank,0
TXN26,2022-08-12,ACC4116,debit,2088.74,Amazon,Entertainment,West,Bank,0
TXN27,2024-03-15,ACC3625,credit,1079.21,Airbnb,Travel,South,Bank,0
TXN28,2022-07-24,ACC2940,credit,2300.56,Netflix,Utilities,South,POS,0
TXN29,2023-03-23,ACC1360,debit,1519.49,Netflix,Utilities,North,Online,0
TXN30,2023-09-20,ACC2613,credit,1766.65,Walmart,Retail,North,Online,0
TXN31,2024-05-05,ACC1169,debit,1518.63,Uber,Utilities,East,Bank,0
TXN32,2024-06-18,ACC3696,debit,3481.82,Airbnb,Food,North,Bank,0
TXN33,2024-06-19,ACC1315,debit,1989.2,Walmart,Entertainment,East,Online,0
TXN34,2023-08-25,ACC4734,debit,1153.83,Airbnb,Utilities,East,Bank,0
TXN35,2022-10-14,ACC4196,credit,2658.04,Netflix,Healthcare,East,POS,0
TXN36,2022-03-09,ACC1716,credit,1023.33,Walmart,Healthcare,South,Bank,0
TXN37,2024-05-22,ACC2835,credit,2167.09,Amazon,Food,West,Online,0
TXN38,2023-03-17,ACC1701,debit,432.26,Uber,Healthcare,East,Online,0
TXN39,2023-01-26,ACC1943,debit,937.45,Walmart,Retail,West,Online,0
TXN40,2022-09-05,ACC1171,credit,2157.49,Netflix,Travel,South,Online,0
TXN41,2023-01-26,ACC4618,debit,2590.77,Amazon,Food,North,Bank,0
TXN42,2024-03-05,ACC1864,debit,2137.09,Zomato,Travel,West,Bank,0
TXN43,2022-08-14,ACC3179,credit,1907.48,Zomato,Utilities,East,Bank,0
TXN44,2023-06-19,ACC2285,credit,1759.12,Zomato,Healthcare,North,Online,0
TXN45,2024-02-22,ACC2386,debit,817.18,Walmart,Retail,South,Bank,0
TXN46,2023-09-21,ACC1042,credit,1424.12,Netflix,Food,North,POS,0
TXN47,2023-10-02,ACC3745,credit,1631.49,Amazon,Retail,West,Bank,0
TXN48,2022-11-10,ACC3961,credit,2845.7,Netflix,Entertainment,West,Bank,0
TXN49,2022-01-27,ACC1821,debit,2274.89,Zomato,Food,West,Bank,0
TXN50,2022-07-26,ACC4989,debit,2947.8500000000004,Airbnb,Food,West,POS,1
TXN51,2024-06-16,ACC2790,credit,2259.27,Airbnb,Utilities,North,Online,0
TXN52,2023-10-27,ACC2528,credit,1691.93,Uber,Entertainment,East,Online,0
TXN53,2022-11-10,ACC2764,credit,1458.46,Zomato,Food,East,Bank,0
TXN54,2022-11-15,ACC1670,credit,2489.34,Zomato,Food,South,Online,0
TXN55,2023-08-02,ACC3935,credit,2824.8,Zomato,Retail,North,Online,0
TXN56,2022-11-17,ACC1530,debit,2745.02,Uber,Retail,East,Bank,0
TXN57,2022-01-04,ACC2862,debit,1328.63,Uber,Retail,East,Online,0
TXN58,2024-02-25,ACC4607,debit,1752.63,Uber,Healthcare,West,POS,0
TXN59,2022-07-06,ACC2547,debit,2265.01,Netflix,Entertainment,South,Bank,0
TXN60,2022-05-03,ACC4678,debit,2780.44,Zomato,Utilities,West,Online,0
TXN61,2022-12-28,ACC2928,debit,1616.66,Uber,Utilities,East,Bank,0
TXN62,2023-07-19,ACC1048,debit,1851.47,Uber,Utilities,North,Online,0
TXN63,2022-04-05,ACC4503,credit,1114.93,Uber,Healthcare,West,Online,0
TXN64,2023-12-24,ACC2517,debit,1043.03,Walmart,Healthcare,North,Bank,0
TXN65,2022-02-22,ACC1198,debit,2650.02,Walmart,Healthcare,North,POS,0
